Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
S24,Keyswitch,Hotswap_Choc_V1V2_1.00u,114.425,-94.4375,0,top
S25,Keyswitch,Hotswap_Choc_V1V2_1.00u,132.425,-81.3625,0,top
S26,Keyswitch,Hotswap_Choc_V1V2_1.00u,132.425,-98.3625,0,top
S27,Keyswitch,Hotswap_Choc_V1V2_1.00u,150.425,-81.3625,0,top
S28,Keyswitch,Hotswap_Choc_V1V2_1.00u,150.425,-98.3625,0,top
S29,Keyswitch,Hotswap_Choc_V1V2_1.00u,168.425,-81.3625,0,top
S30,Keyswitch,Hotswap_Choc_V1V2_1.00u,168.425,-98.3625,0,top
S31,Keyswitch,Hotswap_Choc_V1V2_1.00u,77.2125,-119.9625,15,top
SW1,SW_SPDT,SW_SPDT_PCM12,64.7375,-32.2,180,top
SW2,SW_Push,Button_TL3342,55.2625,-32.33,180,top
SW3,RotaryEncoder_Switch,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,94.3875,-116.4625,90,top
U1,STM32F401RET6,LQFP-64_10x10mm_P0.5mm,38.6375,-64.0375,90,top
U2,USBLC6-2SC6,SOT-23-6,36.6375,-48.395,-90,top
U3,XC6206,SOT-23-3,41.9375,-52.1825,90,top
U4,TRRS,TRRS_PJ-320A,47.1125,-32.925,0,top
Y1,8MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,35.8375,-75.8375,0,top
